id,34365,36932,31434,25771,36028,,,
item_id,30720,32204,28009,24900,31499,,,
dept_id,1255,1354,1127,978,1345,,,
cat_id,376,403,329,281,366,,,
store_id,26939,28932,24831,21023,28962,,,
state_id,4799,4980,4433,3853,5095,,,
weekday,20696,21961,19437,15864,22666,,,
month,4269,4375,3845,3250,4473,,('boosting_type', 'gbdt')
year,15496,16361,14741,12281,16424,,('class_weight', None)
event_name_1,1864,1918,1725,1447,1975,,('colsample_bytree', 0.8)
event_type_1,958,1070,854,809,1006,,('importance_type', 'split')
snap_CA,1990,2273,1855,1577,2134,,('learning_rate', 0.1)
snap_TX,4583,4909,4278,3397,4842,,('max_depth', -1)
snap_WI,4868,4929,4445,3560,5048,,('min_child_samples', 20)
day,40007,42258,36145,30897,41749,,('min_child_weight', 0.001)
week,20514,21959,19185,16125,21804,,('min_split_gain', 0.0)
sell_price,27202,28583,25024,20844,28574,,('n_estimators', 400)
lag_t28,34209,37040,31735,27204,36238,,('n_jobs', -1)
lag_t29,36681,39804,33209,27736,38906,,('num_leaves', 2048)
lag_t30,35581,38428,32074,27311,37963,,('objective', None)
rolling_mean_t7,49529,52828,44988,38484,52118,,('random_state', None)
rolling_std_t7,59004,64116,52015,44548,63978,,('reg_alpha', 0.0)
rolling_mean_t30,49448,53499,44731,37377,53682,,('reg_lambda', 0.1)
rolling_std_t30,41790,45153,36627,30339,45008,,('silent', True)
rolling_mean_t90,41955,43773,37592,30690,43135,,('subsample', 0.8)
rolling_mean_t180,44588,47331,40617,32953,47950,,('subsample_for_bin', 200000)
rolling_mean_t60,43380,46083,37783,31270,45986,,('subsample_freq', 0)
rolling_std_t60,36677,38703,32511,26778,38684,,('device', 'gpu')
price_change_t1,277,349,285,261,367,,,
price_change_t365,15783,16259,14035,12348,16435,,,
rolling_price_std_t7,2830,2826,2488,2066,2836,,,
rolling_price_std_t30,10440,11017,9242,7775,11196,,,
item_id_gb_sell_price,22949,24598,20971,18079,24802,,,
item_id_gb_sell_price_std,1603,1592,1333,1319,1432,,,
